

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.59042,0.59042,0,1.78749,2.36687
:6:1,2,1,0.665689,0.665689,0,3.56385,4.73373
:6:1,3,1,0.756109,0.756109,0,5.64814,7.10059
:6:2,1,1,0.491691,0.491691,0,3.60193,2.36687
:6:2,2,1,0.524927,0.524927,0,7.59166,4.73375
:6:2,3,1,0.558651,0.558651,0,11.3525,7.10062
:6:3,1,1,0.45259,0.45259,0,5.52152,2.36688
:6:3,2,1,0.461877,0.461877,0,11.4752,4.73376
:6:3,3,1,0.48827,0.48827,0,17.5642,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 35,33
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.557455,0.557455,0,0.60265,2.36687
:6:1,2,1,0.650047,0.650047,0,1.20999,4.73373
:6:1,3,1,0.732194,0.732194,0,1.80069,7.1006
:6:2,1,1,0.454416,0.454416,0,1.18735,2.36687
:6:2,2,1,0.516144,0.516144,0,2.41009,4.73375
:6:2,3,1,0.537987,0.537987,0,3.55188,7.10062
:6:3,1,1,0.423552,0.423552,0,1.76708,2.36688
:6:3,2,1,0.44397,0.44397,0,3.49918,4.73376
:6:3,3,1,0.45584,0.45584,0,5.11719,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 35,45
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.594724,0.594724,0,0.882379,2.36687
:6:1,2,1,0.686331,0.686331,0,1.6916,4.73372
:6:1,3,1,0.748201,0.748201,0,2.51277,7.1006
:6:2,1,1,0.492566,0.492566,0,1.64576,2.36687
:6:2,2,1,0.539089,0.539089,0,3.35458,4.73375
:6:2,3,1,0.56307,0.56307,0,4.73334,7.10062
:6:3,1,1,0.463309,0.463309,0,2.58772,2.36688
:6:3,2,1,0.486811,0.486811,0,4.86116,4.73376
:6:3,3,1,0.49976,0.49976,0,7.08529,7.10065


:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 41,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.511341,0.511341,0,0.0252789,2.36687
:6:1,2,1,0.571006,0.571006,0,0.0380407,4.73373
:6:1,3,1,0.629191,0.629191,0,0.0513011,7.1006
:6:2,1,1,0.458087,0.458087,0,0.0348013,2.36687
:6:2,2,1,0.474852,0.474852,0,0.0613324,4.73375
:6:2,3,1,0.493097,0.493097,0,0.0876319,7.10062
:6:3,1,1,0.434911,0.434911,0,0.0481531,2.36688
:6:3,2,1,0.440335,0.440335,0,0.0901257,4.73376
:6:3,3,1,0.443294,0.443294,0,0.127818,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 41,11
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.528669,0.528669,0,1.15052,2.36687
:6:1,2,1,0.593294,0.593294,0,1.99865,4.73373
:6:1,3,1,0.650632,0.650632,0,2.7302,7.1006
:6:2,1,1,0.472303,0.472303,0,2.02046,2.36687
:6:2,2,1,0.490282,0.490282,0,3.42558,4.73375
:6:2,3,1,0.502915,0.502915,0,4.8463,7.10062
:6:3,1,1,0.460641,0.460641,0,2.73107,2.36688
:6:3,2,1,0.460155,0.460155,0,4.84324,4.73376
:6:3,3,1,0.466472,0.466472,0,6.96322,7.10065


:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 41,19
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.505814,0.505814,0,0.295651,2.36687
:6:1,2,1,0.589147,0.589147,0,0.476676,4.73373
:6:1,3,1,0.638566,0.638566,0,0.66346,7.1006
:6:2,1,1,0.442345,0.442345,0,0.457191,2.36687
:6:2,2,1,0.458333,0.458333,0,0.876322,4.73375
:6:2,3,1,0.484496,0.484496,0,1.26639,7.10062
:6:3,1,1,0.42781,0.42781,0,0.664899,2.36688
:6:3,2,1,0.437016,0.437016,0,1.27051,4.73376
:6:3,3,1,0.437016,0.437016,0,1.85515,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 41,33
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.548355,0.548355,0,0.531062,2.36687
:6:1,2,1,0.601865,0.601865,0,1.03814,4.73373
:6:1,3,1,0.645557,0.645557,0,1.57647,7.1006
:6:2,1,1,0.486991,0.486991,0,1.08065,2.36687
:6:2,2,1,0.495827,0.495827,0,2.09725,4.73375
:6:2,3,1,0.510555,0.510555,0,3.17608,7.10062
:6:3,1,1,0.472754,0.472754,0,1.59411,2.36688
:6:3,2,1,0.477172,0.477172,0,3.11406,4.73376
:6:3,3,1,0.479627,0.479627,0,4.69141,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 41,45
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.503452,0.503452,0,0.76196,2.36687
:6:1,2,1,0.561637,0.561637,0,1.49362,4.73373
:6:1,3,1,0.630178,0.630178,0,2.26542,7.1006
:6:2,1,1,0.443787,0.443787,0,1.51483,2.36687
:6:2,2,1,0.461538,0.461538,0,3.06544,4.73375
:6:2,3,1,0.467949,0.467949,0,4.46179,7.10062
:6:3,1,1,0.422584,0.422584,0,2.44604,2.36688
:6:3,2,1,0.428008,0.428008,0,4.5448,4.73376
:6:3,3,1,0.437377,0.437377,0,6.14039,7.10065

